"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"FAR2P2"	-0.899	-0.964	-0.729	-0.143	-0.287	-2.963	-2.329	-0.335	-0.254	0.11	-0.285	-0.365	-1.277
"FARP2"	-0.533	-0.343	0.113	0.248	-0.458	-0.079	0.358	-0.292	-0.262	-0.18	1.462	0.834	-1.287
"FARSA"	0.681	0.691	0.81	0.501	0.084	-0.767	0.372	0.741	0.485	0.99	1.465	1.151	0.24
"FAS"	-1.035	-0.941	-0.878	-0.022	1.242	3.308	0.184	-0.208	-1.159	-1.452	2.067	-0.871	0.547
"FASTKD5"	-0.629	-0.033	0.556	0.038	-0.436	0.108	0.603	0.398	0.124	0.333	1.298	0.687	-0.297
"FAT1"	1.78	0.375	-0.563	1.651	0.366	-3.114	1.643	1.427	0.328	0.665	2.394	-0.26	-0.554
"FAT4"	-0.563	-1.467	-1.206	0.017	0.018	0.028	0.488	-0.264	-1.615	-2.011	0.642	-0.839	-0.95
"FAXDC2"	-0.687	-2.978	-2.322	-0.458	-0.76	-0.116	1.085	-0.5	-1.512	-3.285	1.447	-0.981	-1.634
"FBF1"	-0.749	0.095	0.105	0.271	-0.404	0.149	-0.05	0.13	-0.353	0.029	0.44	-1.195	-1.596
"FBL"	0.628	0.615	-0.04	0.311	0.795	-1.46	1.374	1.352	0.396	1.436	1.221	-0.074	0.208
"FBLIM1"	-1.659	-0.554	-0.228	1.417	-0.17	0.152	0.658	0.932	-0.597	-0.392	2.116	-0.154	-0.994
"FBLN1"	-4.166	-1.299	-1.455	0.582	-1.89	0	0.017	1.047	-2.632	-1.745	2.289	-3.048	-3.961
"FBLN5"	-2.309	-3.324	-2.282	-0.126	-1.989	0.473	0.35	-0.615	-3.038	-4.022	0.894	-2.827	-2.733
"FBN1"	-0.897	-1.711	0.037	1.312	0.936	0.989	0.025	0.505	-1.057	-1.386	3.96	-0.926	-1.153
"FBP1"	-2.654	-0.281	1.716	0.519	-1.444	3.021	1.294	-1.343	-0.491	-2.683	1.996	0.659	0.978
"FBXL15"	-0.611	0.07	-0.688	0.278	-0.429	-0.87	-1.596	0.197	-0.762	-1.271	0.421	-0.974	-0.578
"FBXL16"	1.477	0.129	1.863	-0.721	2.26	-2.157	-3.194	0.167	0.71	0.041	0.661	-3.418	0.681
"FBXL3"	-0.866	-0.726	-0.361	0.106	-0.182	1.588	0.673	-0.1	-0.501	-0.559	1.356	-0.547	-0.712
"FBXL4"	-0.586	-0.28	0.129	0.47	-0.519	0.477	0.634	0.205	0.126	0.422	0.55	0.197	0.046
"FBXL8"	-1.896	0.593	-1.06	0.365	1.302	-0.584	-0.389	-0.562	-0.868	-1.405	-1.206	-2.03	-1.917
"FBXO10"	-0.601	-0.408	-0.146	-0.192	-0.453	-0.514	0.382	0.29	-0.385	-0.237	-0.187	0.573	-0.576
"FBXO11"	-0.548	-0.269	-0.145	0.462	-0.079	0.832	0.44	0.221	-0.612	-0.378	1.086	-0.039	-0.393
"FBXO17"	-0.539	-1.904	-1.84	0.939	1.434	-4.083	-1.665	-0.326	-1.702	-0.571	0.208	-0.275	-2.196
"FBXO25"	-0.543	-0.554	-0.024	-0.039	-0.008	0.474	0.241	0.019	-0.197	-0.228	-0.039	0.134	0.094
"FBXO27"	-0.624	0.21	-0.293	0.465	-0.085	-2.327	-1.362	0.665	0.092	2.437	0.548	-3.075	-0.323
