"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"FBXO3"	-0.655	-0.8	0.092	-0.238	-0.32	-0.058	0.535	0.216	-0.193	0.012	0.905	-0.772	-0.111
"FBXO44"	-1.157	0.061	-0.404	0.768	-0.412	-1.104	-1.258	0.331	-0.452	-0.708	-0.112	-0.622	-0.728
"FBXO6"	-0.589	0.988	1.053	0.782	0.816	-1.739	0.089	0.773	0.689	0.425	0.984	0.744	0.507
"FBXO7"	-0.553	-0.187	-0.071	0.656	-0.233	0.092	0.937	0.697	-0.561	-0.393	1.537	1.591	-0.148
"FBXO9"	-2.932	-0.306	-0.261	-0.011	-0.379	0.391	-0.59	-0.017	-0.625	-0.534	-0.409	-0.394	-1.156
"FBXW2"	-0.921	-0.49	0.242	0.741	-0.145	0.267	0.576	0.116	-0.466	-0.202	1.165	-0.157	-0.419
"FCER1A"	0.989	-1.507	-0.394	-1.998	0.157	4.299	0.268	0.183	-0.071	-0.88	1.886	-2.755	1.16
"FCER1G"	-1.52	-0.032	0.654	1.445	2.525	6.154	2.98	0.187	-1.217	-1.751	3.372	2.145	0.755
"FCF1"	-1.012	-0.254	0.407	0.615	-0.109	0.039	1.697	0.436	0.3	0.68	1.775	0.466	0.029
"FCGBP"	-1.487	-0.638	-0.19	-1.107	-0.893	0.36	2.043	0.049	1.011	-0.057	1.706	-2.452	-1.777
"FCGR1B"	-0.985	0.367	1.042	0.413	1.936	2.213	2.3	0.069	-0.271	-0.772	1.202	1.488	-0.503
"FCGR1C"	-0.792	0.195	0.829	0.263	1.376	1.674	1.832	0.059	-0.038	-0.453	1.019	1.034	0.165
"FCGR2A"	-1.568	0.302	0.765	1.519	2.068	-1.911	2.36	0.612	-0.783	-1.511	3.128	3.423	0.302
"FCGR2B"	-1.254	-1.016	0.272	0.079	1.819	-2.645	0.499	-1.936	0.354	-0.142	3.094	0.85	0.021
"FCGR2C"	-3.174	-0.547	-0.847	0.373	2.041	-2.751	0.065	-0.412	-1.6	-2.355	1.059	-0.505	-1.441
"FCGR3A"	-1.865	0.865	1.633	1.686	3.466	3.368	2.498	-0.105	-0.385	-0.851	3.77	3.783	1.217
"FCGR3B"	-0.747	0.279	0.311	0.638	1.103	0.281	0.185	-0.843	-2.161	-2.276	1.101	0.007	-0.453
"FCGRT"	-1.382	-0.856	-0.733	0.343	0.624	3.854	2.113	0.103	-0.693	-1.626	1.93	-0.024	-0.42
"FCHSD1"	-0.822	0.281	-1.075	0.49	0.839	0.023	-1.093	-0.404	-1.393	-1.695	0.704	-1.243	-1.428
"FCHSD2"	-0.547	-0.631	-0.215	0.845	0.317	2.515	2.107	-0.037	-0.786	-1.022	1.664	0.014	0.041
"FCN2"	-2.184	-0.144	-1.07	-0.043	-0.127	0.057	-0.098	-4.628	-0.081	-0.096	-0.108	-0.164	-0.956
"FCN3"	-1.54	0.285	-1.361	0.595	0.991	-0.086	-0.209	-4.363	-6.426	-7.21	-0.581	0.165	-1.033
"FDFT1"	1.054	0.136	0.084	-0.164	-0.729	-2.822	0.756	0.436	-0.396	0.197	1.939	0.498	-0.274
"FDX1L"	0.646	0.406	0.479	0.845	-0.623	-1.54	-0.711	0.816	0.396	0.342	1.338	1.263	0.438
"FDX1P1"	0.628	0.077	-0.079	0.034	-0.058	2.003	-0.013	-0.075	-0.144	-0.136	0.124	-0.327	-0.126
"FECH"	-1.366	-0.561	0.306	-0.061	-1.589	-1.019	0.701	-0.004	0.173	0.612	0.335	0.425	-0.571
"FEN1"	0.532	1.997	1.83	1.49	0.49	-1.82	0.878	1.801	1.435	2.343	1.995	2.431	0.877
"FER1L4"	-1.118	1.7	-0.047	0.535	2.532	0.973	-1.739	-0.152	0.055	-0.498	3.12	-0.679	-0.511
"FERMT1"	-1.976	1.111	-0.483	1.158	-0.69	0.136	3.488	0.485	2.104	3.688	3.289	-3.548	-0.832
"FERMT2"	-0.826	-2.501	-1.681	0.731	-0.504	-0.059	1.245	-0.528	-1.871	-2.53	1.474	0.288	-0.879
"FERMT3"	-0.926	-0.229	0.286	0.875	2.066	-0.076	1.744	0.391	-1.196	-1.717	3.11	1.917	-0.447
"FERP1"	-0.818	-0.09	-0.747	0.117	0.18	1.054	0.069	-0.278	-1.066	-1.163	-0.23	-1.386	-1.303
"FES"	-1.763	-0.636	-1.645	0.293	0.356	5.861	-0.486	-0.675	-1.701	-2.516	1.362	0.494	-1.118
"FEZ1"	1.514	-1.6	-1.38	2.03	0.291	-2.864	0.691	-0.543	-2.506	-1.257	2.346	0.346	-1.996
"FEZ2"	-1.027	-0.525	-0.437	0.324	-0.147	-0.107	0.9	0.529	-0.103	-0.211	2.252	0.507	0.065
"FGD2"	-2.521	-1.036	-0.702	0.141	1.678	4.435	1.279	-0.512	-2.149	-2.763	1.253	-0.646	-1.828
"FGD3"	-0.62	0.063	1.459	0.398	-0.515	4.297	1.415	-0.124	-1.484	-1.713	0.425	-0.485	-0.697
"FGD5"	-0.76	-1.046	-1.371	0.366	0.619	0.218	0.16	0.523	-2.261	-2.697	2.656	-1.406	-0.94
"FGD6"	-0.566	-0.189	0.799	1.488	0.728	-1.369	-0.28	0.427	0.548	0.457	1.604	-1.737	-0.1
"FGF12"	-1.711	0.685	-0.128	-0.133	-0.202	-0.014	0.168	0.462	-0.316	1.695	-0.895	0.01	-0.169
"FGF14-AS2"	-0.941	-1.45	-1.57	-0.507	-0.862	-0.104	1.073	-0.335	-0.922	-0.643	0.148	-0.331	-0.425
"FGF7"	-1.172	-3.027	-2.223	-1.123	-1.651	0.218	0.156	-0.158	-1.922	-2.484	1.472	-1.564	-3.609
"FGFR1"	1.052	-3.348	-1.645	0.132	0.053	2.675	0.41	-0.656	-2.044	-1.844	-0.78	-1.065	-1.828
"FGFR1OP"	-0.569	0.358	0.72	0.609	0.881	-0.277	0.073	-0.396	0.131	0.313	0.646	-0.165	-0.628
"FGFR1OP2"	-0.864	-0.384	-0.512	0.483	0.089	0.678	0.026	-0.072	-0.74	-0.475	1.366	0.361	-0.38
"FGFR2"	-1.737	-1.013	-0.259	-0.433	-1.095	0.027	0.117	-0.204	-0.867	1.254	0.083	-5.092	-0.852
"FGFR3"	-0.914	0.226	1.261	-0.227	-0.718	-3.936	-1.001	-0.065	-0.695	1.325	-1.426	-7.488	-0.27
"FGFR4"	0.621	-0.686	0.606	0.838	0.151	-3.443	-0.127	0.951	-3.693	-4.175	0.462	-0.221	-0.756
"FGFRL1"	-0.963	-0.714	-0.555	0.421	-0.146	-0.18	-1.14	0.029	-0.06	-1.193	-0.819	-0.128	-0.321
"FGGY"	-1.465	-0.391	0.02	-0.172	0.491	-1.809	0.373	0.993	-0.153	-0.168	0.666	-0.361	0.062
"FGL2"	-0.959	-2.837	-0.987	-0.21	-0.728	4.163	1.211	0.087	-0.239	-1.029	2.203	-0.206	-1.748
"FGR"	-1.671	-0.73	-1.302	0.231	1.261	5.457	0.039	-0.958	-3.312	-3.762	1.666	-0.365	-0.771
"FHL1"	-1.424	-5.634	-4.442	-1.856	1.505	2.503	1.381	-0.728	-4.616	-4.9	1.404	-3.511	-1.878
"FHL2"	-0.866	-0.059	-0.478	0.394	0.242	-4.021	-2.109	-0.338	1.536	1.19	4.763	-0.343	-1.855
"FHL3"	-1.229	-0.834	-0.102	0.458	0.783	-1.007	0.863	0.996	-0.251	-0.325	2.083	0.288	-0.09
"FHL5"	-1.314	-1.575	-2.409	-0.15	0.666	-0.057	0.617	0.052	-2.596	-3.085	0.685	-1.579	-1.991
"FHOD1"	-0.528	0.428	-0.952	1.267	1.152	-0.131	-0.131	-0.033	-1.789	-2.928	0.848	0.211	-0.813
"FHOD3"	-0.846	-0.779	-1.005	0.783	-0.965	-0.028	-0.398	-0.247	0.267	1.366	1.928	0.621	-0.137
"FIBIN"	-1.543	-1.896	-0.762	-0.083	-0.543	-0.098	2.595	-0.146	-2.451	-2.365	2.161	-2.632	-2.242
"FIGF"	-1.076	-1.799	-3.88	-0.274	-0.246	-0.057	-0.976	0.025	-3.999	-4.487	0.045	-0.53	-1.292
"FIGN"	-0.919	-0.643	-1.15	0.093	0.267	0.014	0.849	-0.516	-0.725	-0.941	-0.518	0.582	-0.755
"FILIP1L"	-1.572	-2.106	-0.736	0.454	0.547	0.215	0.398	0.066	-0.814	-1.395	1.89	-1.83	-1.105
"FITM2"	-0.744	-0.702	-0.056	-0.211	-0.237	0.596	0.62	0.462	0.016	-0.418	0.244	0.686	0.001
"FIZ1"	0.503	0.064	0.439	0.417	-0.074	0.251	-0.205	0.358	0.034	0.146	0.755	0.293	-0.224
"FKBP1B"	-1.492	-0.021	-0.75	0.116	-0.919	-0.549	-2.689	0.294	-1.247	-1.317	1.786	-0.242	-0.593
"FKBP4"	0.521	0.595	1.78	0.568	-0.762	-0.206	-0.043	0.622	0.463	1.554	0.841	0.232	-0.515
"FKBP5"	-0.687	-2.366	-1.475	0.385	0.135	0.044	1.044	0.315	-1.832	-2.349	-0.126	-2.438	-2.056
"FKBP8"	0.574	-0.08	-0.261	0.275	0.222	-0.634	-0.509	0.79	-0.255	-0.226	1.782	0.352	0.166
"FKBP9"	-0.575	-0.068	0.034	1.427	0.394	-2.418	-0.04	1.001	0.104	0.571	2.024	0.741	-0.116
"FKSG52"	-0.53	0.033	-0.061	1.744	0.027	1.293	-0.488	-0.117	-0.524	0.191	0.174	-0.875	-0.93
"FKSG61"	-0.731	-0.032	-0.317	1.328	0.062	1.317	-1.071	-0.31	-0.848	-0.381	-0.158	-0.807	-0.959
"FLCN"	-1.009	-0.856	-0.975	0.778	0.54	0.397	-0.429	-0.433	-1.741	-1.682	0.256	-0.639	-1.234
"FLG-AS1"	-0.756	-0.373	-0.618	-0.675	-0.543	0.202	-0.417	-0.105	-0.51	-0.208	-0.261	0.413	-0.431
"FLJ27354"	-1.245	-0.513	-1.477	0.361	0.024	1.893	0.068	0.085	-0.78	-0.559	0.606	0.798	-0.703
"FLJ33360"	-0.699	-0.305	-0.482	0.069	0.164	0.595	-0.331	-0.196	-0.74	-0.65	-0.457	-0.566	-1.006
"FLNA"	-0.665	-2.272	-0.574	1.595	0.979	0.017	1.082	0.514	-1.251	-1.275	2.943	0.295	0.198
"FLNB-AS1"	-0.687	-0.43	-0.624	0.113	0.058	0.722	-0.216	-0.379	-0.578	-0.712	-0.262	-1.464	-1.293
"FLOT1"	-0.604	-0.213	0.274	0.464	0.252	-1.34	-0.037	0.619	-0.218	-0.513	1.805	2.003	-0.06
"FLOT2"	-0.91	-0.103	-0.028	0.286	0.18	-0.11	0.051	0.159	-0.001	0.023	1.928	0.679	0.167
"FLRT2"	-1.269	-1.722	-1.709	1.597	-0.901	0.035	-1.118	-0.447	-0.884	-0.445	-1.583	-2.527	-2.162
"FLT1"	0.892	-0.398	-0.972	1.041	2.162	-1.142	-0.061	0.734	-1.099	-1.495	1.663	-0.145	-0.857
"FLT4"	-1.427	-0.597	-1.878	0.442	0.747	0.665	0.298	-0.016	-2.118	-2.708	1.029	-1.076	-2.43
"FLVCR2"	-1.284	0.395	0.057	-0.073	0.153	2.036	1.782	-0.262	-0.681	-1.652	1.725	-1.054	0.047
"FLYWCH2"	1.802	0.263	0.833	0.235	-0.192	-1.304	0.999	1.388	0.237	0.216	2.217	0.886	-0.054
"FMN2"	-0.96	-0.293	-0.475	-0.113	-1.448	-0.367	0.55	-0.014	-0.15	-0.258	0.394	0.094	-0.618
"FMNL1"	-1.259	-0.271	-0.167	0.792	2.122	2.503	-1.273	-0.156	-1.555	-2.302	2.438	0.11	0.002
"FMNL2"	-1.502	-0.729	-1.377	1.449	0.479	1.006	0.828	0.088	-0.868	-1.073	0.63	0.889	-0.513
"FMO2"	-2.977	-1.245	-3.845	-3.832	0.335	0.245	0.52	-0.645	-3.583	-4.027	0.266	-1.593	-2.954
"FMO3"	-1.697	-0.097	-1.298	-0.058	0.262	0.287	0.293	-0.521	-1.653	-1.702	0.925	-1.083	-0.915
"FMO5"	-1.438	-0.506	-0.218	-0.228	-2.074	2.931	0.6	0.488	0.288	-2.364	-0.268	-1.951	-0.112
"FMOD"	-2.524	-1.547	-0.947	0.962	-0.713	0.061	0.303	-0.409	-1.291	-1.632	2.751	-1.567	-1.76
"FN1"	0.649	-0.592	2.999	3.415	2.071	-3.282	1.476	0.987	-0.861	-1.377	5.748	2.716	5.605
"FNBP1"	-0.616	-1.729	0.054	-0.091	0.303	3.404	0.125	0.362	-0.717	-1.038	1.709	-0.525	-0.839
"FNBP4"	-1.885	-0.407	-1.138	0.246	0.508	0.99	0.374	-1.043	-1.459	-1.476	-0.22	-1.795	-1.703
"FNDC3B"	-0.872	0.429	-0.165	1.808	0.622	1.579	1.012	0.312	0.139	0.276	1.431	1.009	0.014
"FNDC4"	-1.684	-0.03	-1.716	-1.119	-0.398	-2.278	-0.434	-1.182	0.296	0.087	1.857	-0.366	1.116
"FNDC5"	-2.196	-0.517	-0.441	-1.362	-0.764	-0.174	-0.922	-0.335	-0.059	-0.239	0.485	-0.629	-0.546
"FOCAD"	-0.98	-0.051	0.459	0.071	-0.3	2.876	-1.065	0.621	-0.035	-0.233	0.632	0.253	-0.387
"FOLH1"	1.577	0.142	-0.308	0.285	1.438	0.043	0.182	-0.322	0.104	0.861	1.242	0.207	0.718
"FOLR1"	-0.89	0.136	-2.168	-1.036	-0.98	-1.774	0.809	0.152	-0.155	-3.899	2.316	-1.4	0.029
"FOLR2"	-1.185	-1.419	-1.123	0.07	1.559	0.7	3.283	1.187	-0.104	-0.891	2.768	1.22	0.539
"FOS"	-1.393	-2.735	-1.972	-1.489	-0.569	6.518	1.593	-2.294	-1.122	-1.862	2.014	-2.772	0.844
"FOSL1"	-1.057	-0.556	-0.822	1.182	0.54	-1.268	0.52	0.146	-0.745	0.76	3.571	1.118	0.045
"FOSL2"	-1.569	-0.888	-0.731	0.121	0.098	4.351	-0.394	0.11	-1.027	-0.255	2.19	-2.9	-0.817
"FOXC2"	-0.668	-0.284	-0.475	0.844	0.847	-0.043	-0.011	0.132	-0.946	-0.769	1.007	-0.466	-0.707
"FOXM1"	1.733	3.555	2.902	1.803	1.487	0.749	1.838	1.815	2.266	3.886	2.588	2.684	-0.33
"FOXN3"	-0.903	-1.683	-1.18	-0.13	0.198	4.565	1.566	0.337	-0.614	-0.299	1.031	-1.646	-0.55
"FOXN3-AS1"	-0.646	0.013	-0.39	0.083	0.317	1.618	0.125	0.179	0.128	0.565	0.754	0.396	0.008
"FOXO6"	1.095	0.503	0.905	0.048	0.203	-0.025	0.887	0.026	0.683	0.422	0.341	-0.793	-0.429
"FPGS"	-1.026	-0.131	-0.253	0.731	-0.004	0.646	0.958	-0.341	-0.633	-0.93	1.14	0.203	-0.322
"FPGT-TNNI3K"	-0.621	-0.847	-0.698	-0.186	-0.055	0.351	0.291	-0.04	-0.436	-0.632	0.334	-0.677	-0.503
"FPR1"	-1.925	-0.589	0.065	0.426	1.368	2.772	2.203	-1.105	-2.189	-2.59	2.301	0.956	-0.06
"FPR3"	-1.293	0.181	1.672	0.969	2.516	-1.482	1.174	0.608	0.363	-0.145	2.562	1.841	0.805
"FREM1"	-1.515	-1.499	-1.775	-0.161	-3.034	0.04	0.197	-0.368	-1.244	-1.342	-0.475	-0.782	-0.826
"FRMD3"	-1.307	-1.439	-1.493	-0.524	-0.288	1.234	1.172	0.279	-1.208	-1.381	0.557	0.011	2.041
"FRMD4A"	-1.374	-0.328	-0.898	0.475	0.063	0.654	0.248	-0.316	-1.721	-1.597	-0.043	-0.29	-1.353
"FRMD4B"	-0.907	-0.006	-0.508	-0.277	0.15	3.726	0.754	-0.342	-1.31	-1.112	1.761	-1.07	-0.823
"FRMD6"	-1.527	-0.818	-0.1	0.577	0.489	0.115	0.976	-0.274	-0.402	1.789	2.602	-0.628	-1.062
"FRMD8"	-0.659	0.41	0.038	0.924	0.619	0.041	0.844	0.666	-0.434	0.194	1.273	0.063	-0.568
"FRRS1"	-0.961	0.071	0.206	0.473	0.467	-1.621	0.226	0.277	0.062	1.657	1.486	-1.239	-0.35
"FRRS1L"	-1.385	-0.13	-0.109	-0.029	-0.029	-0.014	-1.217	0.014	-0.014	0.082	0.142	-0.029	-0.079
"FRS3"	-0.61	-0.1	-0.5	0.429	0.12	0.39	-0.951	0.189	-0.336	-0.565	0.607	0.349	-0.918
"FRY"	0.563	-2.056	-1.05	-1.043	-0.626	3.899	0.759	0.156	-1.856	-2.83	1.183	-2.06	-1.312
"FSCN1"	1.573	1.777	0.086	2.11	1.432	-2.584	0.587	0.792	0.331	2.583	4.142	0.503	-0.41
"FSTL1"	-1.391	-1.625	-1.076	1.097	1.573	1.171	0.946	0.07	-1.343	-1.169	3.494	-0.025	-1.492
"FSTL3"	-1.399	-0.764	-1.369	2.216	1.7	1.433	-0.803	0.064	-2.502	-3.209	2.165	-1.046	-0.39
"FSTL4"	0.847	-0.673	0.682	0.287	-1.28	-0.066	-1.804	0.339	1	1.534	0.037	-1.31	0.397
"FTCDNL1"	-0.541	-0.345	0.583	-0.505	-0.174	1.598	0.465	-0.106	0.355	0.39	-0.071	0.334	-0.901
"FTH1"	-1.501	-0.162	0.009	1.124	0.797	-2.079	-0.152	1.272	-0.545	-0.443	1.126	1.166	0.286
"FTH1P10"	-0.865	-0.356	-0.681	0.683	0.284	-1.683	-0.622	0.305	-0.945	-1.164	-0.043	0.066	-0.303
"FTH1P11"	-1.041	-0.265	-0.596	0.318	0.308	-1.696	-0.647	0.187	-1.067	-0.922	-0.047	0.118	-0.401
"FTH1P2"	-1.1	-0.274	-0.364	0.643	0.499	-0.635	-0.089	0.775	-0.812	-0.876	0.719	0.822	-0.069
"FTH1P7"	0.99	0.688	0.877	1.046	0.805	-1.27	2.248	2.971	1.359	0.819	3.328	3.309	2.298
"FTH1P8"	0.762	0.603	0.401	0.803	0.598	-1.667	1.705	2.223	0.733	0.478	2.402	2.817	1.731
"FTLP3"	-1.133	-0.667	-1.147	0.626	-0.451	-1.371	-0.975	-0.393	-1.966	-1.96	0.411	-0.026	-1.842
"FTO"	-0.616	-0.94	-0.435	0.472	0.725	1.426	1.015	0.503	-0.3	-0.311	1.528	0.279	-0.233
"FTSJ1"	0.525	0.781	0.455	0.76	0.185	-0.648	0.708	0.748	0.376	0.537	1.304	0.465	0.101
"FTSJ2"	0.543	0.529	0.903	0.721	0.235	-0.819	0.743	0.844	0.679	0.837	1.853	1.061	0.437
"FTSJ3"	-1.115	0.12	0.026	0.6	-0.281	0.202	1.244	0.595	0.212	0.186	1.085	0.173	-0.726
"FUBP1"	-1.34	0.167	-0.129	0.728	0.06	-0.21	0.205	0.003	-0.506	-0.657	0.631	-0.409	-1.02
"FUBP3"	-0.551	-0.544	-0.001	0.679	-0.025	-0.725	1.605	0.012	-0.18	0.005	0.901	-0.214	-0.508
"FUNDC1"	0.552	0.57	0.942	0.255	0.009	-1.166	-0.028	0.77	0.802	0.936	1.943	0.549	0.279
"FUOM"	-0.714	1.012	-0.542	0.69	0.004	-1.52	1.201	0.061	-0.413	-0.201	1.033	1.085	0.342
"FUS"	0.606	0.177	0.383	0.95	0.424	-0.501	1.143	0.814	-0.055	0.015	1.304	0.477	-0.43
"FXYD1"	-1.85	-4.392	-4.597	-2.234	0.239	-0.938	-2.109	-1.568	-3.422	-4.205	0.863	-2.439	-3.011
